	Lanzhou	Yinchuan	Shantou	Tunxi	Changsha	Jinan	Zhengzhou	Xiamen	Xining	Shexian	Suzhou	Beijing	Wenzhou	Tianjin	Wulumuqi	Guiyang	Shanghai	Taibei	Taoyuan	Hangzhou	Xian	Hefei	Guangzhou	Haikou	Meixian	Wuhan	Xianggang	Jianou	Pingyao	Qingdao	Fuzhou	Nanchang	Nanjing	Huhehaote	Haerbin	Nanning	Chengdu	Xiangtan	Kunming	Taiyuan
Lanzhou	0.0	1.6175115207373272	4.705069124423963	4.341013824884793	3.3824884792626726	2.935483870967742	3.4470046082949306	4.9953917050691246	3.8341013824884795	4.15668202764977	4.870967741935484	4.2626728110599075	4.502304147465438	3.5529953917050694	3.087557603686636	3.6589861751152073	4.525345622119816	5.009216589861751	5.018433179723502	4.6728110599078345	3.870967741935484	4.15668202764977	4.682027649769585	5.032258064516129	4.732718894009217	3.898617511520737	4.783410138248848	4.046082949308755	3.709677419354839	3.442396313364055	4.341013824884793	4.7373271889400925	4.474654377880184	3.447004608294931	3.857142857142857	4.571428571428571	3.4562211981566824	3.9723502304147464	3.9078341013824884	4.3917050691244235
Yinchuan	1.6175115207373272	0.0	4.290322580645162	4.405529953917051	3.0460829493087553	2.857142857142857	2.894009216589862	4.405529953917051	3.2396313364055302	4.285714285714286	4.589861751152074	3.4470046082949306	4.184331797235023	3.0599078341013826	2.3686635944700463	3.055299539170507	4.170506912442397	4.423963133640553	4.870967741935484	4.451612903225806	3.622119815668203	4.308755760368664	4.28110599078341	4.811059907834101	4.202764976958525	3.1244239631336406	4.059907834101383	3.612903225806452	3.2534562211981566	3.4331797235023043	3.7096774193548385	4.585253456221198	4.700460829493087	3.7327188940092166	2.8755760368663594	3.8986175115207375	2.7373271889400925	3.686635944700461	3.5622119815668203	3.9723502304147464
Shantou	4.705069124423963	4.290322580645162	0.0	4.064516129032258	4.497695852534562	4.875576036866359	4.317972350230415	3.161290322580645	4.5437788018433185	4.101382488479263	3.824884792626728	4.926267281105991	5.193548387096774	4.419354838709678	4.299539170506913	4.253456221198157	4.2073732718894	3.2304147465437785	4.350230414746544	4.221198156682028	4.497695852534562	3.944700460829493	3.705069124423963	3.7557603686635943	2.953917050691244	5.129032258064516	3.7649769585253456	4.442396313364055	4.516129032258064	4.870967741935484	3.4838709677419355	3.5668202764976957	4.013824884792626	4.709677419354838	4.663594470046084	4.511520737327189	4.511520737327189	4.6082949308755765	4.8986175115207375	3.6728110599078345
Tunxi	4.341013824884793	4.405529953917051	4.064516129032258	0.0	4.110599078341014	4.271889400921659	4.474654377880184	4.433179723502304	4.28110599078341	3.345622119815668	4.179723502304148	4.129032258064516	4.313364055299539	3.9631336405529956	4.751152073732719	4.4792626728110605	4.105990783410138	4.594470046082949	4.304147465437788	4.345622119815668	4.009216589861751	3.391705069124424	4.138248847926267	4.71889400921659	3.9216589861751157	5.1336405529953915	4.0368663594470044	4.460829493087558	5.138248847926267	3.880184331797235	4.91705069124424	3.80184331797235	3.8525345622119813	4.612903225806452	4.359447004608295	4.276497695852534	4.442396313364055	4.124423963133641	4.345622119815668	4.147465437788019
Changsha	3.3824884792626726	3.0460829493087553	4.497695852534562	4.110599078341014	0.0	4.313364055299539	3.2442396313364057	4.28110599078341	3.589861751152074	4.2626728110599075	4.138248847926267	3.1336405529953915	4.400921658986175	3.184331797235023	3.9631336405529956	3.0921658986175116	4.165898617511521	3.894009216589862	3.6589861751152073	4.179723502304148	2.460829493087558	4.663594470046084	4.138248847926267	4.691244239631336	3.774193548387097	2.9723502304147464	4.152073732718894	3.0506912442396317	3.6497695852534564	4.078341013824884	4.576036866359447	4.304147465437788	3.3179723502304146	4.152073732718894	2.7788018433179724	4.064516129032258	3.3502304147465436	1.359447004608295	4.235023041474655	3.5990783410138247
Jinan	2.935483870967742	2.857142857142857	4.875576036866359	4.271889400921659	4.313364055299539	0.0	3.19815668202765	4.894009216589861	4.092165898617512	4.179723502304148	5.359447004608295	3.6774193548387095	3.6175115207373274	3.7741935483870965	3.0184331797235022	3.7926267281105988	5.087557603686636	5.211981566820277	5.018433179723502	5.428571428571429	3.4976958525345623	4.271889400921659	4.67741935483871	5.1336405529953915	4.815668202764977	4.235023041474655	4.732718894009217	4.428571428571429	4.253456221198157	1.7235023041474655	4.709677419354838	5.142857142857142	5.059907834101383	3.967741935483871	3.9170506912442393	4.396313364055299	3.792626728110599	4.410138248847926	3.525345622119816	4.423963133640553
Zhengzhou	3.4470046082949306	2.894009216589862	4.317972350230415	4.474654377880184	3.2442396313364057	3.19815668202765	0.0	4.4562211981566815	3.751152073732719	4.170506912442397	4.8663594470046085	3.055299539170507	4.903225806451613	3.1889400921658986	2.552995391705069	2.7096774193548385	5.387096774193548	4.511520737327189	4.497695852534562	5.516129032258064	3.4608294930875574	4.668202764976959	4.382488479262673	4.387096774193548	4.442396313364055	3.8294930875576036	4.271889400921659	3.6175115207373274	4.0368663594470044	3.1705069124423964	4.027649769585254	4.668202764976959	4.668202764976959	4.433179723502304	3.1935483870967745	4.147465437788018	3.2119815668202767	3.456221198156682	3.3640552995391704	4.082949308755761
Xiamen	4.9953917050691246	4.405529953917051	3.161290322580645	4.433179723502304	4.28110599078341	4.894009216589861	4.4562211981566815	0.0	4.447004608294931	4.410138248847926	4.377880184331797	3.589861751152074	5.1336405529953915	3.9953917050691246	4.488479262672811	3.9170506912442393	4.511520737327189	1.6359447004608296	3.9539170506912438	4.880184331797235	3.8755760368663594	4.67741935483871	3.4470046082949306	3.8755760368663594	3.064516129032258	5.023041474654377	3.2211981566820276	4.400921658986175	4.811059907834101	4.764976958525345	3.7649769585253456	3.576036866359447	4.216589861751152	4.32258064516129	4.032258064516129	3.5622119815668203	3.2027649769585254	4.3963133640553	3.9170506912442393	4.493087557603687
Xining	3.8341013824884795	3.2396313364055302	4.5437788018433185	4.28110599078341	3.589861751152074	4.092165898617512	3.751152073732719	4.447004608294931	0.0	4.161290322580645	4.009216589861751	3.5622119815668203	5.046082949308756	3.7557603686635943	3.3410138248847927	3.225806451612903	4.294930875576037	3.9953917050691246	4.686635944700461	4.557603686635945	3.3041474654377883	4.211981566820277	4.7142857142857135	5.202764976958525	4.5852534562211975	4.6082949308755765	4.497695852534562	4.0691244239631335	4.423963133640553	3.5069124423963136	4.811059907834101	4.336405529953917	4.4562211981566815	4.235023041474655	3.023041474654378	4.188940092165899	3.80184331797235	3.880184331797235	3.258064516129032	4.580645161290323
Shexian	4.15668202764977	4.285714285714286	4.101382488479263	3.345622119815668	4.2626728110599075	4.179723502304148	4.170506912442397	4.410138248847926	4.161290322580645	0.0	4.654377880184332	4.663594470046084	4.465437788018433	4.152073732718894	4.423963133640553	3.751152073732719	4.152073732718894	4.373271889400922	4.253456221198157	4.778801843317972	3.387096774193548	3.9216589861751157	4.571428571428571	5.290322580645161	4.663594470046084	4.976958525345622	4.612903225806452	4.405529953917051	4.6036866359447	4.258064516129032	4.474654377880185	4.073732718894009	4.3271889400921655	3.9447004608294933	4.829493087557603	4.221198156682028	4.290322580645161	4.405529953917051	3.9815668202764978	4.285714285714286
