	Lanzhou	Yinchuan	Shantou	Tunxi	Changsha	Jinan	Zhengzhou	Xiamen	Xining	Shexian	Suzhou	Beijing	Wenzhou	Tianjin	Wulumuqi	Guiyang	Shanghai	Taibei	Taoyuan	Hangzhou	Xian	Hefei	Guangzhou	Haikou	Meixian	Wuhan	Xianggang	Jianou	Pingyao	Qingdao	Fuzhou	Nanchang	Nanjing	Huhehaote	Haerbin	Nanning	Chengdu	Xiangtan	Kunming	Taiyuan
Lanzhou	0.0	1.5898617511520738	5.271889400921658	4.580645161290322	3.5115207373271886	2.9493087557603683	3.294930875576037	5.32258064516129	3.9769585253456223	4.336405529953917	4.723502304147466	4.290322580645162	4.788018433179723	3.539170506912442	3.1152073732718897	3.7788018433179724	5.018433179723502	5.290322580645161	5.225806451612903	4.847926267281106	3.912442396313364	4.428571428571429	4.875576036866359	5.188940092165899	5.253456221198157	3.953917050691244	4.963133640552995	4.3271889400921655	3.857142857142857	3.4377880184331797	4.861751152073733	5.023041474654377	4.797235023041475	3.672811059907834	3.894009216589862	4.834101382488479	3.5023041474654377	4.046082949308756	4.009216589861751	4.741935483870968
Yinchuan	1.5898617511520738	0.0	4.783410138248848	4.5437788018433185	3.161290322580645	3.023041474654378	2.769585253456221	4.649769585253456	3.4884792626728114	4.511520737327189	4.557603686635945	3.5161290322580645	4.488479262672811	3.1105990783410142	2.442396313364055	3.1797235023041477	4.71889400921659	4.67741935483871	5.0046082949308754	4.755760368663594	3.7880184331797233	4.635944700460829	4.548387096774194	4.894009216589861	4.64516129032258	3.1889400921658986	4.304147465437788	3.847926267281106	3.387096774193548	3.557603686635945	4.092165898617512	4.852534562211982	4.972350230414746	3.9953917050691246	2.9723502304147464	4.165898617511521	2.8018433179723505	3.774193548387097	3.764976958525345	4.580645161290323
Shantou	5.271889400921658	4.783410138248848	0.0	4.368663594470046	4.847926267281106	5.405529953917051	4.8663594470046085	3.161290322580645	4.9308755760368665	4.451612903225806	4.161290322580645	5.147465437788018	5.944700460829493	4.797235023041475	4.769585253456221	4.622119815668203	4.580645161290322	3.2027649769585254	4.6082949308755765	4.465437788018433	4.705069124423963	4.188940092165899	4.055299539170507	4.055299539170507	3.290322580645161	5.682027649769585	4.105990783410138	4.889400921658986	5.078341013824884	5.313364055299539	3.9815668202764973	3.8202764976958528	4.138248847926267	5.202764976958525	4.990783410138249	4.834101382488479	4.631336405529954	4.944700460829493	5.04147465437788	4.023041474654378
Tunxi	4.580645161290322	4.5437788018433185	4.368663594470046	0.0	4.08294930875576	4.4147465437788025	4.3917050691244235	4.686635944700461	4.47926267281106	3.5990783410138247	4.525345622119816	4.216589861751152	4.493087557603687	4.165898617511521	5.018433179723502	4.682027649769585	4.428571428571429	4.907834101382488	4.460829493087558	4.5852534562211975	4.165898617511521	3.7050691244239635	4.451612903225806	4.976958525345623	4.2073732718894	5.364055299539171	4.359447004608295	4.548387096774194	5.506912442396313	4.018433179723502	5.350230414746544	4.138248847926267	4.11520737327189	5.175115207373272	4.488479262672811	4.594470046082949	4.640552995391705	4.092165898617512	4.470046082949309	4.488479262672811
Changsha	3.5115207373271886	3.161290322580645	4.847926267281106	4.08294930875576	0.0	4.516129032258064	3.3179723502304146	4.382488479262673	3.9078341013824884	4.7373271889400925	4.391705069124424	3.207373271889401	4.700460829493087	3.2718894009216593	4.04147465437788	3.175115207373272	4.599078341013825	4.211981566820277	3.7465437788018434	4.35483870967742	2.6267281105990783	4.788018433179724	4.465437788018433	4.788018433179723	4.050691244239632	3.032258064516129	4.470046082949309	3.2534562211981566	4.032258064516129	4.271889400921659	4.626728110599078	4.359447004608295	3.087557603686636	4.612903225806452	2.847926267281106	4.299539170506913	3.414746543778802	1.423963133640553	4.506912442396313	4.350230414746544
Jinan	2.9493087557603683	3.023041474654378	5.405529953917051	4.4147465437788025	4.516129032258064	0.0	3.225806451612903	5.244239631336406	4.258064516129032	4.308755760368664	5.387096774193548	3.8894009216589858	3.797235023041475	3.9539170506912438	3.2304147465437785	4.009216589861751	5.373271889400922	5.511520737327189	5.235023041474655	5.433179723502304	3.5391705069124426	4.6497695852534555	4.857142857142858	5.345622119815668	5.359447004608295	4.423963133640553	4.921658986175116	4.714285714285714	4.599078341013826	1.7465437788018434	5.285714285714286	5.4562211981566815	5.5437788018433185	4.216589861751152	4.129032258064516	4.76036866359447	3.9769585253456223	4.5852534562211975	3.557603686635945	4.7695852534562215
Zhengzhou	3.294930875576037	2.769585253456221	4.8663594470046085	4.3917050691244235	3.3179723502304146	3.225806451612903	0.0	4.4147465437788025	4.050691244239632	4.428571428571429	5.096774193548387	3.119815668202765	5.152073732718894	3.2672811059907834	2.5990783410138247	2.7649769585253456	5.658986175115208	4.709677419354839	4.589861751152074	5.364055299539171	3.5990783410138247	5.119815668202765	4.6082949308755765	4.728110599078342	4.811059907834101	4.124423963133641	4.4562211981566815	3.9308755760368665	4.548387096774194	3.3410138248847927	4.294930875576037	4.525345622119816	4.649769585253456	4.764976958525345	3.248847926267281	4.414746543778802	3.023041474654378	3.460829493087558	3.506912442396313	4.580645161290322
Xiamen	5.32258064516129	4.649769585253456	3.161290322580645	4.686635944700461	4.382488479262673	5.244239631336406	4.4147465437788025	0.0	4.903225806451613	4.580645161290322	4.548387096774193	3.7465437788018434	5.67741935483871	4.253456221198157	4.788018433179724	4.1658986175115205	4.788018433179724	1.7880184331797235	4.046082949308755	5.105990783410139	3.9815668202764978	4.88479262672811	3.8940092165898617	4.124423963133641	3.023041474654378	5.317972350230415	3.686635944700461	4.502304147465438	5.11520737327189	5.216589861751152	4.0691244239631335	3.7142857142857144	4.294930875576037	4.783410138248849	4.124423963133641	3.870967741935484	3.4331797235023043	4.43778801843318	4.193548387096774	4.580645161290322
Xining	3.9769585253456223	3.4884792626728114	4.9308755760368665	4.47926267281106	3.9078341013824884	4.258064516129032	4.050691244239632	4.903225806451613	0.0	4.548387096774194	4.43778801843318	3.861751152073733	5.271889400921658	4.078341013824884	3.71889400921659	3.5299539170506913	4.815668202764977	4.497695852534562	5.059907834101383	4.967741935483871	3.493087557603687	4.631336405529954	5.253456221198157	5.548387096774194	5.009216589861751	4.935483870967742	5.032258064516129	4.474654377880185	5.013824884792626	3.67741935483871	5.497695852534562	4.940092165898617	4.894009216589861	4.746543778801843	3.3364055299539173	4.67741935483871	4.0691244239631335	4.161290322580645	3.442396313364055	5.0691244239631335
Shexian	4.336405529953917	4.511520737327189	4.451612903225806	3.5990783410138247	4.7373271889400925	4.308755760368664	4.428571428571429	4.580645161290322	4.548387096774194	0.0	4.889400921658986	4.990783410138249	4.8663594470046085	4.4792626728110605	4.820276497695852	4.161290322580645	4.460829493087558	4.571428571428571	4.626728110599078	4.921658986175116	3.6497695852534564	4.188940092165899	5.0368663594470044	5.76036866359447	5.073732718894009	5.488479262672811	5.059907834101383	4.875576036866359	5.105990783410139	4.488479262672811	4.935483870967742	4.460829493087557	4.663594470046083	4.216589861751152	5.170506912442397	4.658986175115207	4.534562211981567	4.778801843317972	4.225806451612904	4.534562211981568
