	Lanzhou	Yinchuan	Shantou	Tunxi	Changsha	Jinan	Zhengzhou	Xiamen	Xining	Shexian	Suzhou	Beijing	Wenzhou	Tianjin	Wulumuqi	Guiyang	Shanghai	Taibei	Taoyuan	Hangzhou	Xian	Hefei	Guangzhou	Haikou	Meixian	Wuhan	Xianggang	Jianou	Pingyao	Qingdao	Fuzhou	Nanchang	Nanjing	Huhehaote	Haerbin	Nanning	Chengdu	Xiangtan	Kunming	Taiyuan
Lanzhou	0.0	0.4847625501793825	1.2903565851892103	1.370769819879654	1.0559277914201501	0.767452755136785	0.8292695341129201	1.2964360316910066	1.1500025623746295	1.1958278223264762	1.3218691684753976	1.0690945331834214	1.2594662648809822	1.0988368854785124	0.9175919090066085	1.157617208727594	1.2807416122442636	1.3635710675169292	1.557626032618052	1.3403101979401746	1.1395823975154866	1.2087199994978644	1.353092560389165	1.3448993246507752	1.4378883397786426	1.0692846846288084	1.4102464477993326	1.2436774786615261	0.9781966046782915	0.9249990678260476	1.2029580151534154	1.391390354139193	1.2571526743057442	0.8962704922786506	1.1370722053669944	1.4127799084328143	0.8850383473785703	1.3183127899647356	1.0144285055146622	1.1652439085911777
Yinchuan	0.4847625501793825	0.0	1.2208210310042	1.3630587736920892	0.9565767868292441	0.8126640191161079	0.6758439367012512	1.1401533760320086	0.989319014261552	1.2046768668086736	1.247368298537493	0.8116977436316481	1.170714483338201	0.9708970549792203	0.6984960903632774	0.9533630592709466	1.2173390172286238	1.1977317143241861	1.486338647251947	1.3163657921352643	1.0982728344990649	1.3019834778400636	1.2608143290999698	1.350513998696421	1.2496191318257388	0.8366112289221495	1.187425081080017	1.12772713011078	0.9255528512607557	1.0126635026892654	0.985448638923487	1.3575876831954952	1.3083896345902537	1.0459900275963334	0.8386270285927024	1.2126545038081702	0.642930581258019	1.2384129112461038	0.887338298141747	1.0707342946857512
Shantou	1.2903565851892103	1.2208210310042	0.0	1.230448596205997	1.238559698514793	1.2375043185420136	1.1065324979899538	0.8245131010370396	1.236986670794347	1.044196161993166	1.3999335991604032	1.276320351230325	1.279631812972306	1.2070459711445194	1.0973627046349288	1.1194060829463555	1.428536304133336	0.7736298622608675	1.1502620211558026	1.4095806808174456	1.1832082794984524	1.2924552359287373	1.3112435040630177	1.2617425954972545	0.8290309315487645	1.2664704636807609	1.3364329630878888	1.2210012814412206	1.3096938742779227	1.3029391045617371	0.9259573268579859	1.266782012242491	1.3115029824763198	1.4122936012049199	1.236125094878425	1.3414673735116922	1.1963174827385386	1.3264227084183733	1.364537165003435	1.0675411186646988
Tunxi	1.370769819879654	1.3630587736920892	1.230448596205997	0.0	1.1741825423984307	1.2805627548029819	1.1599876990642861	1.273543342353113	1.198187029005663	1.003814389350086	1.2752271108887612	1.1255975750606435	1.2804360726638015	1.1633622491205888	1.2586663728735372	1.3244469743399103	1.2324746800414326	1.3223667928917855	1.2667134368858544	1.1992784630231688	1.2190245484609563	1.0711966202463958	1.4108267562698784	1.433733414389343	1.2741982129343068	1.3692168729762524	1.366882902529625	1.3148078822364395	1.5511878941657407	1.1221232418958864	1.3975233349713316	0.985687385057718	1.0986513147091015	1.3487613401690381	1.1903255406377364	1.3571966662969097	1.35583004981078	1.2459124693134906	1.384298636152082	1.2650338103707397
Changsha	1.0559277914201501	0.9565767868292441	1.238559698514793	1.1741825423984307	0.0	1.2310740926773405	0.8993517434894094	1.1112434613552193	1.080659977366682	1.2331369446372191	1.1319203801597775	0.786030578028003	1.167233524988153	0.9443036444091324	1.0806828741187924	0.9905696061507087	1.095829835980202	1.1133586384092888	1.11683795715675	1.0731220847726748	0.7816988338364241	1.241989589539152	1.2994627065758535	1.3161609111761967	1.0636902049903192	0.86769688732157	1.303731131428074	0.9733349573306599	1.0173324641374284	1.1632526691694658	1.1892237812634932	1.137625834923756	0.7230075059278112	1.0520097098981944	0.8030152806390265	1.3211826374325084	0.9798754307262711	0.5422884850095708	1.2058060322417228	1.0186526480211087
Jinan	0.767452755136785	0.8126640191161079	1.2375043185420136	1.2805627548029819	1.2310740926773405	0.0	0.7924106681875854	1.2481749760378205	1.0518513237798928	1.1232582222164083	1.4773922765817975	0.939698548893126	1.0912499904135489	1.0743109456244717	0.7579606013574911	0.9677431790594214	1.439381731466641	1.3223824415541412	1.4674491212709553	1.4068502983091653	0.8574351007384543	1.2117412039205318	1.3175796288845334	1.5581037078623459	1.3076383393346074	1.1444685601697264	1.3245202944105343	1.3194320785448586	1.2451601855021242	0.4908579506794636	1.298114027937778	1.341939458088179	1.2454924303965036	1.0964235739093224	1.0090128998046288	1.3227509069209247	1.0359423175771334	1.3649599974623365	0.9396911850484146	1.052862025867044
Zhengzhou	0.8292695341129201	0.6758439367012512	1.1065324979899538	1.1599876990642861	0.8993517434894094	0.7924106681875854	0.0	1.1270971318412548	0.8920397835430114	1.1117986612622537	1.2568019383388478	0.7585817800851221	1.297265592011876	0.9079889552745344	0.608521129315903	0.7058279375016074	1.3000909317970872	1.1390400816043766	1.2756728553421772	1.31042357746277	0.8996604937824679	1.1094184382359622	1.2044652795593382	1.2691942470584594	1.1515337519531772	0.9899748592580144	1.1827584873788797	1.013458317685572	1.075434237898695	0.8569000039104029	1.0043351263876363	1.0642244160908474	1.0506525140506215	1.1506247546086263	0.733430714286419	1.2060898609590305	0.8404679202052876	1.0631305180473667	0.8646592877978301	1.06786950785219
Xiamen	1.2964360316910066	1.1401533760320086	0.8245131010370396	1.273543342353113	1.1112434613552193	1.2481749760378205	1.1270971318412548	0.0	1.1544943642191687	1.2419177071411873	1.3240739793630554	0.9726788677958315	1.2563413396607825	1.1276811476522015	1.0938533192733977	1.0861770749083508	1.4101577138528283	0.42873290131411285	1.1812068479248936	1.5131092833588378	1.0970604439085663	1.4571954990405929	1.1281681435001922	1.2835509925448771	0.8792883268567755	1.2316835605034533	1.06011989559825	1.2060514993469726	1.2959968743044117	1.3143894885830387	0.8409916972538969	1.1343507608953889	1.3023474949555063	1.233020129292698	1.0850500186473415	1.076359160575736	0.9909619286138647	1.2841322228792618	1.1323893864780148	1.3075421467938193
Xining	1.1500025623746295	0.989319014261552	1.236986670794347	1.198187029005663	1.080659977366682	1.0518513237798928	0.8920397835430114	1.1544943642191687	0.0	1.252077325533254	1.0865727616974046	0.9142002777263196	1.4559929019155442	1.1227610396212728	0.8812048401238612	1.0435398257320143	1.1909789458093343	1.1163462567605444	1.3831141688565782	1.2787252915421536	0.99953911082565	1.1734688845856445	1.3603274284483566	1.4531507128201266	1.294896719773163	1.2263209842181015	1.2950773021025754	1.2344405632871909	1.253809092066247	0.9068430374296276	1.2547471456459147	1.0717143423158275	1.1224880801763164	1.1741641793637723	0.8637309235311303	1.2273591594920978	1.1525429237274527	1.229703275908693	1.0799201626607702	1.2991366653264593
Shexian	1.1958278223264762	1.2046768668086736	1.044196161993166	1.003814389350086	1.2331369446372191	1.1232582222164083	1.1117986612622537	1.2419177071411873	1.252077325533254	0.0	1.485012514996383	1.3241823387589693	1.1933446520534075	1.1309204039082261	1.117713803103754	0.9936680099735768	1.2649908290624055	1.2314521299520766	1.2528054763044354	1.3553706380172321	0.9767909041710704	1.245485493685237	1.3049510697675188	1.593529357500122	1.2300424142618729	1.2433730033608767	1.3564458710441012	1.3020987853482964	1.406146997405417	1.2284904436691522	1.2922469038574138	1.134941123441449	1.2740347871432403	1.198254893237951	1.3236199198152723	1.3000902605881044	1.1496692838392457	1.3672208912541834	1.2296627240021838	1.0887854188900694
