	Lanzhou	Yinchuan	Shantou	Tunxi	Changsha	Jinan	Zhengzhou	Xiamen	Xining	Shexian	Suzhou	Beijing	Wenzhou	Tianjin	Wulumuqi	Guiyang	Shanghai	Taibei	Taoyuan	Hangzhou	Xian	Hefei	Guangzhou	Haikou	Meixian	Wuhan	Xianggang	Jianou	Pingyao	Qingdao	Fuzhou	Nanchang	Nanjing	Huhehaote	Haerbin	Nanning	Chengdu	Xiangtan	Kunming	Taiyuan
Lanzhou	0.0	0.707528887533953	1.7269732324227824	1.757344264478768	1.4920073510843816	1.1836169235638672	1.408436175770818	1.745262563958446	1.4913251248591912	1.583901997789635	1.6843900066596178	1.5566530109597365	1.7474554348363243	1.6053273548717857	1.4195365931725923	1.6393123818614435	1.653172058740577	1.7762911767575988	1.8470821434176763	1.6380797939431926	1.5632026030481077	1.641720902632712	1.7719176178785065	1.7570261886966618	1.763731490375541	1.599982857195808	1.7814800205907924	1.6676135921669832	1.4409403944513715	1.273330127146294	1.4519254005394349	1.7706536987285206	1.62281453983325	1.317388964561695	1.5481129347187954	1.8055205814056765	1.4051493850180345	1.7009648859827458	1.5401326541368823	1.563072792271492
Yinchuan	0.707528887533953	0.0	1.632198682867514	1.7609934648300811	1.3742523005535725	1.2128429491772783	1.1632828739665724	1.5538903481604347	1.3066577022642205	1.6380825644654609	1.6302833317351162	1.2328710762751969	1.7124902410201515	1.377848434373433	1.1502783425224394	1.4105945849087536	1.5867108907790823	1.5736972144787373	1.7960718303533674	1.5974782466483552	1.4492210463737183	1.6751672419561268	1.6937953370350005	1.7474580185742994	1.581543917395718	1.354522724068993	1.5809040832074692	1.6177207434477787	1.3052119929315094	1.314341525591512	1.2895288794610995	1.7205067910382859	1.6529046571403336	1.4399719369806467	1.212407863187583	1.6304332400605164	1.0981969100655702	1.6000079270054948	1.395860990895455	1.4717759104912211
Shantou	1.7269732324227824	1.632198682867514	0.0	1.545854652133905	1.5289198771879413	1.6680345841675934	1.5430850002899947	1.2497040019480483	1.5521521228082389	1.4720402898725933	1.6996302607905003	1.6698655738209887	1.6151100883310336	1.6714842323548462	1.4971608346778014	1.4843481080781378	1.7585162945865231	1.2205943049573325	1.640235125157458	1.6333332275364711	1.5326613529956439	1.5440802502274689	1.6861367617521266	1.5340856436253634	1.2605870152307728	1.6228440323116713	1.732016943747754	1.6343738289603922	1.6673091345659072	1.7005670487696736	1.4362812840239827	1.5882913790546338	1.6023446079692172	1.7074264169588362	1.6407964851783898	1.7194609206492832	1.5619682331599725	1.6162905676440258	1.6433021172478215	1.427531021009059
Tunxi	1.757344264478768	1.7609934648300811	1.545854652133905	0.0	1.582063699959579	1.7104455198421795	1.643283796268471	1.6315103886809834	1.651611086295501	1.3182048393772008	1.5737106740776388	1.5559107517068704	1.5535116587359132	1.643383100516358	1.6947175265902494	1.6950100606824492	1.5070457795748613	1.711821487647477	1.6358324894350846	1.5257124884429056	1.6823470009185326	1.3553504877275286	1.6758449441010543	1.6668653799920334	1.6084536791700037	1.7454371359032896	1.6666244642302535	1.678784687677795	1.8263951386999078	1.5616424649202147	1.71330527160142	1.4206699390825412	1.4691029777660505	1.7310912994009	1.6195413085209416	1.617577749342437	1.710343051182483	1.636144347491695	1.7087446119166048	1.6304164747717753
Changsha	1.4920073510843816	1.3742523005535725	1.5289198771879413	1.582063699959579	0.0	1.6024554719791322	1.1832527371433001	1.5466508838464126	1.4772011445805044	1.6366932168041264	1.4078787566772033	1.3477925054845832	1.5592333665643299	1.407047232943917	1.410860403657483	1.3020940342149872	1.44047511150575	1.5354934317608517	1.5121183302444754	1.4751392486136656	1.1552827557207987	1.624941446079526	1.6644124524698942	1.6873388925351689	1.4788306377125537	1.233610545443841	1.6850345103309798	1.314629873327656	1.4650064478693268	1.612476945373931	1.6183695997536187	1.5144815168460002	1.1487413282868342	1.466214080403654	1.2040787039019283	1.7016857702810808	1.2752658951827835	0.7733014726596786	1.5282052195434863	1.4994450029607431
Jinan	1.1836169235638672	1.2128429491772783	1.6680345841675934	1.7104455198421795	1.6024554719791322	0.0	1.205083449670514	1.6409986114668618	1.4029519391747574	1.6017914521823486	1.7557337494987681	1.3796103603894427	1.5107596663410665	1.5585239492845526	1.1281593621013224	1.451913439294425	1.7288325804290594	1.7561298762202622	1.8120392027236392	1.720180896022883	1.2425102882138521	1.6387648152249736	1.7189403769345133	1.8082661577921721	1.6865752490562147	1.457535746847121	1.699285156817064	1.661937462568066	1.6492193902505563	0.717839490685751	1.7165944950812655	1.6625749272190284	1.6543569267346974	1.502474528272196	1.403322327729727	1.7318990088684485	1.5213294962608614	1.7264305368817214	1.4804275453903708	1.4990239216205712
Zhengzhou	1.408436175770818	1.1632828739665724	1.5430850002899947	1.643283796268471	1.1832527371433001	1.205083449670514	0.0	1.547285619081527	1.436960993428828	1.585923310673601	1.7060339059292604	1.0829934908958687	1.7251858088487317	1.2953791090228588	1.055313180516777	1.2871426971216726	1.6947816463425736	1.5805802357975185	1.6808978670543118	1.666253918706095	1.221756306994026	1.568077803763192	1.6662578533240198	1.6579135495592077	1.592482951830519	1.3501887791456695	1.6321581737051414	1.3949424443121727	1.5186516659368268	1.242990265806451	1.5159121937139926	1.5362527869213627	1.5130101202468778	1.527972541984746	1.0313591800303734	1.6717188411473476	1.2695275454947477	1.3902561981791433	1.3617855855343244	1.4414576029552653
Xiamen	1.745262563958446	1.5538903481604347	1.2497040019480483	1.6315103886809834	1.5466508838464126	1.6409986114668618	1.547285619081527	0.0	1.512638504173779	1.6047315978109236	1.7148985549611728	1.3317233662246275	1.6807713501486137	1.5928509326114302	1.493824226181812	1.4805800712932609	1.788195093045692	0.7710104400065876	1.6842429662509657	1.7661410919860439	1.4849238373741935	1.7218364149788095	1.5316754613670205	1.5821277194439638	1.2505757871762682	1.5728785417399886	1.4333056442234315	1.6001898785701447	1.7090927248038241	1.7016071574926634	1.401039875422855	1.5362072086774947	1.595454995770568	1.6538694952342219	1.4744602302668035	1.462962988965821	1.2780125856714712	1.6717021705996575	1.4171421019864534	1.6020732248251923
Xining	1.4913251248591912	1.3066577022642205	1.5521521228082389	1.651611086295501	1.4772011445805044	1.4029519391747574	1.436960993428828	1.512638504173779	0.0	1.6367574462247534	1.5005101354398116	1.3364374269257673	1.7701094169553133	1.5833568364482593	1.2248269658479725	1.336439914029984	1.6024957032125435	1.3660270942316792	1.738259853983188	1.6122968416375254	1.1746670891367357	1.5642279000635346	1.726969816975061	1.7188948719509591	1.6245954662925737	1.5160126658328354	1.641171227553099	1.6367935954929687	1.6067972707555147	1.2432795649333022	1.5937212263169198	1.502426223570009	1.4753558705690977	1.4770031510591268	1.1543172195595552	1.6047421042113648	1.462450771614932	1.6422499699452713	1.4000728621169873	1.6109212900602106
Shexian	1.583901997789635	1.6380825644654609	1.4720402898725933	1.3182048393772008	1.6366932168041264	1.6017914521823486	1.585923310673601	1.6047315978109236	1.6367574462247534	0.0	1.8139768394603109	1.6899924420500692	1.5828397632915747	1.5866112456372221	1.6066595572805853	1.3792265514257342	1.6535966492288492	1.6652514502112252	1.7142629187950047	1.7391393887817603	1.3992357301686809	1.5691277792318035	1.648433195684507	1.8342668208129	1.6184209238261777	1.6524987503060782	1.6575108333822586	1.690060188846907	1.7848057617621178	1.6407635558594145	1.7203168693698263	1.573126149883922	1.603589975675543	1.5612302529850832	1.6937508934647543	1.5402770768004834	1.5831712988126143	1.7547902875716157	1.6492683521440825	1.55919932971497
