	Lanzhou	Yinchuan	Shantou	Tunxi	Changsha	Jinan	Zhengzhou	Xiamen	Xining	Shexian	Suzhou	Beijing	Wenzhou	Tianjin	Wulumuqi	Guiyang	Shanghai	Taibei	Taoyuan	Hangzhou	Xian	Hefei	Guangzhou	Haikou	Meixian	Wuhan	Xianggang	Jianou	Pingyao	Qingdao	Fuzhou	Nanchang	Nanjing	Huhehaote	Haerbin	Nanning	Chengdu	Xiangtan	Kunming	Taiyuan
Lanzhou	0.0	3.688756891819793	7.428958464434408	6.517848418343893	5.1671331497077695	4.056374981808045	5.08986262042028	7.770913088486353	5.746152768165111	6.116350796289108	7.4301613026925395	6.0349380788662605	6.652059733059032	5.471567889231613	4.875503893279548	5.812533900433847	7.318314822266263	7.560490444618141	8.248305987171586	6.928718116198304	5.827759572122182	6.553845396796707	7.069042633743182	7.713926796124826	7.728562249950322	6.016321350758475	7.263136718556134	6.290324623150047	6.5403672318730255	5.0568991639536645	7.112570531129887	7.400398668640167	6.956010529099695	5.434316907841144	5.89149907191093	6.958094298956928	5.6432846841394655	6.161056364373135	5.527712610331388	7.352010804970772
Yinchuan	3.688756891819793	0.0	7.845588822431099	7.925808291900582	5.466319390827305	4.320145205823185	4.694821337519253	8.179875788158853	6.204945739179777	7.16737188644294	8.535656274507367	5.196050643728308	7.186039452080614	4.937646254212572	3.9983819680643586	5.757709385037765	8.110661165866885	7.900705023054567	9.496208188327673	7.894606300376308	6.236609474974964	7.950624844970108	7.52627640358855	8.474395974525011	8.198464119661661	5.568906361222677	7.3303332143189746	6.566320659258044	6.910010177385771	5.7607324808497715	7.30718924356025	8.363364647819386	8.049675931218971	6.839496388980658	5.017399976350884	7.098885261090132	5.37308188733903	6.762503305646713	6.037243304782467	7.937370064347086
Shantou	7.428958464434408	7.845588822431099	0.0	6.011783030635618	6.483241897003503	7.110468912250287	6.290692456528012	4.203102774809491	7.2235949721092005	5.791651548767814	5.7312024682891884	7.154383395527111	6.994634103838557	6.462557139467741	6.40187619498105	6.202053260184991	6.073648011348407	4.0395669561718055	6.228676031599019	5.90270163411393	6.505736641111337	6.291804333077467	5.0791586181698145	4.950707339749734	4.417685258073063	7.24392158049484	5.245221993429937	6.051224702537084	6.61192319406964	7.64215195751731	4.815116284810816	5.226203793326973	5.94860727107276	6.6291057042315416	7.083480871040833	5.953602954886829	6.5722955365169415	6.628445016960626	7.105562976220156	5.656294218174466
Tunxi	6.517848418343893	7.925808291900582	6.011783030635618	0.0	5.77687016067479	6.1836588388308495	6.338003054906453	6.512120564716277	6.458673753107277	4.622477662498598	6.089907663973826	6.2299398968387205	5.771862217153805	5.86432006000841	6.957661099148247	6.314596238390875	6.1159972730505	6.471910548593025	6.718967790547913	6.047772553863061	5.911697420584863	5.606376690056587	5.98301424093904	6.7360253677474535	6.120076283822948	7.184109542294116	5.94710021421775	6.131560166197797	7.537186556727632	6.281906345130384	6.97592559271347	5.731280475890866	5.986206422185797	6.750963447294441	6.703027472713601	6.143018222603564	6.402627205040801	5.742639170428102	5.972786665913883	6.594181739444829
Changsha	5.1671331497077695	5.466319390827305	6.483241897003503	5.77687016067479	0.0	5.993798435228464	4.2837705771423265	6.122527447306156	5.686885164571114	5.945882918409684	6.178383553457387	4.302861975250959	6.143083192139959	4.305903332554548	5.371883742417298	4.024265275902558	6.4492506240058685	5.663274279833086	6.059023719198309	6.025556020127249	3.8505156618479166	6.798990693829447	5.841502918934088	6.53941128230689	5.717437104882076	3.8697089652280834	5.930618308951565	4.658872381374343	6.0891041058233535	6.340836202333236	6.623744931513151	5.982670565348987	5.003866991201811	6.420444833984238	4.048055420257995	5.808448115619705	4.1258297466209894	2.2625773792936377	5.758102036918832	5.784881673241378
Jinan	4.056374981808045	4.320145205823185	7.110468912250287	6.1836588388308495	5.993798435228464	0.0	4.470114301133719	7.27251979836377	5.368641760940902	5.775997866319377	7.588364655858376	5.03875110169784	5.3908247469969295	5.249356878869325	4.430601772831302	5.666391795555532	7.3836811320302544	7.422336087165633	7.862820060182479	7.353253832728651	4.503603047496513	6.20487317849223	6.763944611010356	7.42697012042227	7.421105183278043	6.047997781602125	6.843370588387921	6.2662649506022134	6.387502514262664	2.40892976664742	6.989251203764196	7.466166988147336	7.107219593536614	5.695783068463467	5.440783310574049	6.473727235222489	5.67040403449466	6.493711216449793	4.802214295734172	6.670413311241257
Zhengzhou	5.08986262042028	4.694821337519253	6.290692456528012	6.338003054906453	4.2837705771423265	4.470114301133719	0.0	6.2980831114397855	5.752285942287065	5.926623981569389	7.121285420876517	3.4482138321865534	6.812408629453848	3.9485226240056988	3.576674580388583	3.8553929132612157	7.843839995792207	6.314711041275324	7.030204568298503	7.5239136825820525	4.468286216674902	6.697973875393206	6.096433967548151	6.2284537978605155	6.507084337159593	4.783968066117341	6.008384874380864	5.169816596853691	6.24886809132156	4.983353900734193	6.037583118446492	6.44167776911973	6.258571876691079	6.559023195262007	3.6493032453678236	5.864038389607602	4.297923659216357	4.895637801731396	4.933691145853896	6.063299026965855
Xiamen	7.770913088486353	8.179875788158853	4.203102774809491	6.512120564716277	6.122527447306156	7.27251979836377	6.2980831114397855	0.0	7.312819585244794	6.186556193768718	6.451308218440154	5.666451794789597	7.15309696590338	5.899997528714181	6.589475234097264	5.778191901139541	6.646807220414439	2.2306338698381367	5.612353212378461	6.680107538978363	5.976224848465757	7.1266483401888046	4.611165900682969	5.140998798035101	4.12665866551264	7.0115732983491155	4.403242879921645	6.117797765703604	7.228168513992869	7.732529905498469	5.23025990396445	5.087864373396535	6.289055955126576	6.428343429655251	6.305721443804547	4.714472060443961	5.1528270967484815	6.309873055993754	6.304208783516762	6.615739991095708
Xining	5.746152768165111	6.204945739179777	7.2235949721092005	6.458673753107277	5.686885164571114	5.368641760940902	5.752285942287065	7.312819585244794	0.0	5.87404292381062	6.576629970651706	5.753634360246608	6.942599783646521	5.920499323231933	5.367144994126409	5.461506437116881	6.928455462125887	6.612981962066672	8.022337514254126	6.840341635017113	4.917008162245023	6.569076662993468	7.181857028047974	7.987997030375531	7.649909027749822	6.947491561151542	7.014412705242778	6.225961130795524	7.137611441964512	5.259095948995732	7.51634790252636	7.062635254999764	7.204042299287851	6.277906651765235	5.4791869093774626	6.652611236894222	6.107771154478762	6.255092054936738	4.853353316716401	7.409582970891433
Shexian	6.116350796289108	7.16737188644294	5.791651548767814	4.622477662498598	5.945882918409684	5.775997866319377	5.926623981569389	6.186556193768718	5.87404292381062	0.0	6.173389155835622	6.630354228579173	5.913172318834505	5.9668356745887365	6.3584243545906425	5.472995541307293	5.697884832717928	5.96032794286306	6.415366578317789	6.1289380797607755	5.038770175806622	5.530622860148995	6.304641827957754	7.176327536079407	6.5973507753687946	6.848206439965853	6.381936447676253	6.029111469517753	6.4331435722908825	6.218310770451655	6.061934640837466	5.5626058020922375	6.038105016840246	5.3919304333371265	7.0249488925890535	5.936018097239915	6.14008414943867	6.123006902677836	5.531484884820104	6.0800778531851005
