	Lanzhou	Yinchuan	Shantou	Tunxi	Changsha	Jinan	Zhengzhou	Xiamen	Xining	Shexian	Suzhou	Beijing	Wenzhou	Tianjin	Wulumuqi	Guiyang	Shanghai	Taibei	Taoyuan	Hangzhou	Xian	Hefei	Guangzhou	Haikou	Meixian	Wuhan	Xianggang	Jianou	Pingyao	Qingdao	Fuzhou	Nanchang	Nanjing	Huhehaote	Haerbin	Nanning	Chengdu	Xiangtan	Kunming	Taiyuan
Lanzhou	0.0	3.61750195652754	8.310451877684212	6.969475522758504	5.4621788654881085	4.088086426880038	5.0340943573776995	8.374091959762595	6.108541736785126	6.601973813697933	7.398782995495564	6.101255454294561	7.23674664988236	5.457743004438987	4.949336777356131	6.090074190772626	8.279718427571272	8.133580872812695	8.737901154857422	7.176167016759247	5.923757837867493	7.050849124262622	7.5597298155254675	8.123596439964096	8.57349905854371	6.154294012782107	7.73549876139344	6.883272851073137	6.896603718740476	5.052290869022789	7.975592734561788	7.939996036597665	7.570515427345633	5.9481396347506	5.993522747845168	7.5102138046319755	5.746921935710925	6.322556747786779	5.710671714369228	7.8570689255670185
Yinchuan	3.61750195652754	0.0	8.753943133686011	8.277647061457312	5.817205219078529	4.811155456374779	4.776204473920399	8.807814477333118	7.040339371490317	7.9303135079649625	8.913246520971118	5.413399307982406	7.954736911720696	5.094125578458467	4.224900784482834	6.1311608766301635	9.405421094787568	8.54520583304162	9.899731986685987	8.433346502293288	6.735093349500772	8.91324406805263	8.26132982133503	8.886970614434963	9.033295170255489	5.760029148323292	8.021228163786951	7.193594453612986	7.345925857426005	6.209094198871976	8.094931031083217	9.002669831757474	8.8390002495421	7.615462873122803	5.349662665863538	7.798836598957431	5.574774840823277	7.015875861405924	6.592325907821511	9.233969171773264
Shantou	8.310451877684212	8.753943133686011	0.0	6.56499951837151	7.1085263092522375	7.910001347343398	7.075308641661372	4.372253136056978	8.113157278227602	6.402465110308842	6.345451869999577	7.6401703407966455	8.153844660270586	7.097948357572765	7.188453919817476	6.923404101530483	6.785871330454137	4.151549647540062	6.745836494880116	6.323415887834278	6.9943235026482515	6.762061374334048	5.711634442442534	5.5036055199489615	5.077894058144777	8.136400290767902	5.870750448400287	6.70216530382578	7.399303143434398	8.470200149789374	5.5217043546513995	5.6959303780929265	6.199687417506906	7.447589902404456	7.6835506180536814	6.543235862559165	7.0286583195761985	7.206302748438654	7.572219067566017	6.341512899650485
Tunxi	6.969475522758504	8.277647061457312	6.56499951837151	0.0	5.9591794818929875	6.421426521158661	6.4139106610123795	6.9873304756439225	6.929026405425409	5.085136204249325	6.654405052314146	6.482464843985688	6.088432460570203	6.216025908537176	7.417888061621552	6.7192479075631795	6.734789400895633	7.034622170632183	7.039529840261044	6.464074194800456	6.255883568570325	6.236769402749277	6.555560210959381	7.215624541749817	6.682321047228784	7.654065058615783	6.5465263455777	6.483326341446052	8.217576520137968	6.530914217943375	7.673714238411641	6.372333978147707	6.5172942433490215	7.608227739426605	7.027358103120227	6.731557623980661	6.812700740222694	5.8934183015956645	6.247546483850076	7.2663301013959565
Changsha	5.4621788654881085	5.817205219078529	7.1085263092522375	5.9591794818929875	0.0	6.423370506410525	4.455572253187838	6.477275050196411	6.424262197485336	6.84341274197873	6.783272374937192	4.46525603422122	6.710964778890938	4.4885942361120374	5.540746851141094	4.20147182505793	7.411973685184521	6.269850151018068	6.250219307743078	6.400538442806207	4.204492106710463	7.485909272008462	6.402726769546412	6.950108585974808	6.213333266790494	4.00074889416223	6.482136916667077	5.061549378142432	6.910359393925152	6.806414802711073	6.94801660551016	6.331711647003955	4.935256374286865	7.374398479520782	4.21005205716796	6.270360267594258	4.267355738392554	2.393639956986921	6.251896986845603	7.0599914464669
Jinan	4.088086426880038	4.811155456374779	7.910001347343398	6.421426521158661	6.423370506410525	0.0	4.769972899710544	7.89261968296543	5.754411818852624	6.127668390943912	7.7590712519213785	5.507377178171887	5.733659607376842	5.6261056205187	4.9102120649583	6.131057595813477	8.022645191335867	7.997110973807504	8.33749135703319	7.413534759184735	4.592476470223387	6.913671781266815	7.281194257695211	7.831180091529791	8.307012073471562	6.462870896093939	7.390894516803105	6.830553804448305	7.128318392053242	2.4718990546513098	7.922127428640762	8.114125361936944	8.043709613493021	6.213548058652645	5.938853450819514	7.193011313597607	6.076302475550811	6.851259079972538	4.951476262613369	7.224138891689769
Zhengzhou	5.0340943573776995	4.776204473920399	7.075308641661372	6.4139106610123795	4.455572253187838	4.769972899710544	0.0	6.404654095481823	6.441580837192643	6.476044284167217	7.623695129249202	3.581755445127036	7.323769193883937	4.10378338789031	3.68233674173712	3.986068471767669	8.577242829234299	6.7186008452299415	7.237722830781038	7.485060888791204	4.766926184774279	7.812878075143241	6.585602774678092	6.83373645484566	7.061620089489578	5.168053197932474	6.426558954824857	5.696996778340058	7.089942134074754	5.388389969004549	6.524638248666636	6.509308821198726	6.395174679556059	7.2262312891626905	3.7874673042239757	6.367348276473578	4.140612948382383	4.982498474009398	5.347843373259263	6.880079360951148
Xiamen	8.374091959762595	8.807814477333118	4.372253136056978	6.9873304756439225	6.477275050196411	7.89261968296543	6.404654095481823	0.0	8.380843980727851	6.585564999541175	6.860745314500505	6.004345689454906	8.130930151577559	6.335647669425503	7.1335483775253135	6.277667322006189	7.189678682768803	2.5061336565787355	5.801788094086132	7.083469277953428	6.267294822325182	7.5358307419572395	5.318166530944561	5.599432369120954	4.25754924731798	7.616153898296109	5.154140448042162	6.310166775967431	7.692540981732847	8.569691026244405	5.6935163761039576	5.354164185033593	6.450295612686478	7.206122785151178	6.5396380567182195	5.290360780275491	5.626391733540384	6.51186706642828	6.862865878643534	7.015178544440163
Xining	6.108541736785126	7.040339371490317	8.113157278227602	6.929026405425409	6.424262197485336	5.754411818852624	6.441580837192643	8.380843980727851	0.0	6.676952468244972	7.521947736458401	6.48092864971504	7.409155781587275	6.659375921194828	6.290263134300635	6.175532233230399	8.017662854252901	7.654638355302871	8.914211758998324	7.59336027528855	5.360283979676678	7.64941584084166	8.24212955153133	8.735235008080918	8.706456377557606	7.736022058881469	8.08298416538302	7.0955537502413035	8.53338266751442	5.720323891681081	8.812903322393803	8.361788657537792	8.320996984440526	7.446702985446784	6.29260452623739	7.695547275238376	6.753929921991844	6.880305815581217	5.157182402384935	8.54503904203804
Shexian	6.601973813697933	7.9303135079649625	6.402465110308842	5.085136204249325	6.84341274197873	6.127668390943912	6.476044284167217	6.585564999541175	6.676952468244972	0.0	6.593206756391941	7.281585966415921	6.609002863727657	6.586990668076931	7.144380381633519	6.258188802894235	6.171422486995118	6.391070425829127	7.148207757884139	6.36327641620867	5.539216021546047	6.045114561359723	7.054796372695559	7.936528227557062	7.385645812813163	7.737532575731807	7.109622736267854	6.792053104279216	7.285503261107298	6.724132015536629	6.79631668988149	6.26632368764946	6.682138314288277	5.8931622889184645	7.737733265694275	6.637624568066615	6.732829583591245	6.80960228948782	5.993617506662641	6.562788329715166
