	Lanzhou	Yinchuan	Shantou	Tunxi	Changsha	Jinan	Zhengzhou	Xiamen	Xining	Shexian	Suzhou	Beijing	Wenzhou	Tianjin	Wulumuqi	Guiyang	Shanghai	Taibei	Taoyuan	Hangzhou	Xian	Hefei	Guangzhou	Haikou	Meixian	Wuhan	Xianggang	Jianou	Pingyao	Qingdao	Fuzhou	Nanchang	Nanjing	Huhehaote	Haerbin	Nanning	Chengdu	Xiangtan	Kunming	Taiyuan
Lanzhou	0.0	1.1512207783739055	2.085148221189754	2.1174549040477553	1.6694740113523148	1.1288480773391845	1.3431404495030745	2.101293357584958	1.799422276646676	1.8393023005051896	2.0712397123403017	1.6362814081511061	2.0052891845812573	1.7296518850855507	1.5292560091693408	1.900412646802619	2.13325947001047	2.115870940209333	2.566029413277854	2.0171836980738065	1.7566601341238253	1.9187348878213315	2.1544795452033414	2.2259527915713786	2.337418523987298	1.805052076653749	2.2322652246794275	1.9921952921642179	1.8319873737700054	1.4659608801602915	1.9800597091732228	2.1870647346642462	1.9029469271197201	1.3985361302532644	1.7820072443275892	2.209551770534154	1.6502927256839766	2.1464181958091766	1.6255424455441176	1.8871758362261297
Yinchuan	1.1512207783739055	0.0	2.251379229141916	2.5077049320520635	1.711047933945199	1.2462112914543648	1.198144992081303	2.227951989139796	1.9745112304835764	2.0697121840956694	2.4216405161831185	1.3315301619773523	2.183177391956111	1.5428019231714982	1.284278390448423	1.844085864531309	2.4064028704696963	2.204648548315252	2.845773887704807	2.3598993782116238	1.8871350834623724	2.312733609488199	2.3344791747342484	2.554896390485837	2.397578236762529	1.667082407556805	2.268001189354191	2.1028235765233063	2.010552405723064	1.8049212944898647	1.9612262086677816	2.462821921680486	2.0745930040702207	1.862561029366037	1.4559500763895592	2.2747038012570564	1.535352718965028	2.350462428689789	1.7664385452560802	1.991200806439552
Shantou	2.085148221189754	2.251379229141916	0.0	1.7733198124515108	1.8026946260889398	1.8801678870681942	1.6533185436514664	1.1145653688067065	2.0054632300083237	1.5432169072280018	1.9823573520021647	1.9034722799814179	1.78316167024012	1.7887454610845366	1.71991254331182	1.6593861998432375	2.0055593897165123	0.9990664956426859	1.7111919780012999	1.9128132347425453	1.7430395066573574	2.0090626568542693	1.7125162205719011	1.6398572449129858	1.2471258122263735	1.8544524883740445	1.7666331684633114	1.6537319191238935	1.951630022822978	2.0851627300737565	1.2913044411765489	1.7727365062193212	1.8933264608256204	1.9872872437916846	1.9094485330585282	1.7657950897471535	1.7473393523460132	1.9560626902424354	2.0323455943366717	1.627377184024628
Tunxi	2.1174549040477553	2.5077049320520635	1.7733198124515108	0.0	1.6930305472751372	1.9449871940613839	1.717241783269303	1.8452260494872021	1.9886080822565484	1.413893342188744	1.8531608189579778	1.7611931532947613	1.7668214911640008	1.730752217685748	1.9428949081068998	1.912009044312241	1.8421212698638578	1.8448929026102294	1.9642160595600924	1.713577306127453	1.8122099071032693	1.7786164711882648	1.998226553420459	2.0788912341450216	1.8688141478417828	1.9778464321553166	1.970466081560561	1.8573468647966362	2.2643004930577817	1.960274418527559	1.9583263781949172	1.491445388415027	1.6938334545795206	1.9765205053286334	1.8825923622512426	1.9488952126287389	1.9595342434123695	1.808801932344422	2.000657586569449	1.9126880317071673
Changsha	1.6694740113523148	1.711047933945199	1.8026946260889398	1.6930305472751372	0.0	1.7765666740266217	1.2481077609615354	1.6388318987318748	1.7708332132956173	1.70935769940248	1.7114310463661602	1.1861745685719565	1.7055662372995557	1.3124577306258396	1.56358049898623	1.3707538129406418	1.7258343199842285	1.6136411524368626	1.8267705910123846	1.5909774522322393	1.239567123365393	1.8701587172664589	1.8841570427626229	1.9676098648665947	1.629544442611496	1.2025406837615158	1.9069732912450958	1.525441561628143	1.6994439925684488	1.9317137547578136	1.7344802820046237	1.648579447547739	1.1333001812031644	1.6741967759165124	1.2350075255243915	1.9171876787750963	1.3037247103241445	0.9637519069817249	1.7436902772136844	1.594219606831079
Jinan	1.1288480773391845	1.2462112914543648	1.8801678870681942	1.9449871940613839	1.7765666740266217	0.0	1.1709453623793031	1.9245161119666339	1.5248766654623211	1.6742649406180692	2.1581776073747343	1.3601071973111503	1.734855216962321	1.5546610805354137	1.23849200319609	1.593636277614797	2.1727954763718387	1.958274437734056	2.344202122942791	2.003218349153068	1.1780178375218038	1.80887496760701	2.006801846587635	2.316146071724766	2.0821158973096345	1.7690264976460064	2.0216242536470195	1.930114951332245	1.8825487336194362	0.7848168571863677	1.9375270540605016	2.0226069664763946	1.7656719758599717	1.600270992555917	1.472613110365033	2.0050446408477147	1.6649451969653932	2.112342830009908	1.4793881496547672	1.6020470958385995
Zhengzhou	1.3431404495030745	1.198144992081303	1.6533185436514664	1.717241783269303	1.2481077609615354	1.1709453623793031	0.0	1.656344773564252	1.5015033621198688	1.6119686046926909	1.9019614587885045	0.8897289376494735	1.8905668885315876	1.2005011399195116	0.9763867309654691	1.1137092030620521	1.9896221004986185	1.6446323070747229	2.024459527411222	1.8786949564579958	1.2151471728986132	1.6449263399296403	1.7722351712812603	1.8937857884712375	1.7536093026386306	1.3648454025935102	1.7574636561390575	1.5049251603688154	1.6786099500556158	1.4201294112551235	1.5366335716775559	1.5650256998308985	1.4393535214642554	1.7085467235405538	0.88682669266874	1.7752008146997746	1.243508357857719	1.6097375520851558	1.3357754985729138	1.5759045375420384
Xiamen	2.101293357584958	2.227951989139796	1.1145653688067065	1.8452260494872021	1.6388318987318748	1.9245161119666339	1.656344773564252	0.0	1.970553538029065	1.7716541188572212	1.9659223655030846	1.578913519896203	1.8098234180632242	1.6821835997274937	1.720303538302547	1.6307201139019913	2.0716658442094102	0.5970691683989618	1.709258437301938	2.062899441304118	1.6914159599219043	2.2076862103624917	1.472619151126366	1.6849146387578027	1.2169222715071117	1.7996587903465484	1.4086209554861862	1.6547828572197387	2.030027326854739	2.149259693378699	1.2302930868639366	1.6142991595595344	1.945583617729114	1.8579017492347276	1.7414568124616365	1.4181376611548258	1.5621642443418629	1.8923744922714532	1.8420802983090976	1.922755039675653
Xining	1.799422276646676	1.9745112304835764	2.0054632300083237	1.9886080822565484	1.7708332132956173	1.5248766654623211	1.5015033621198688	1.970553538029065	0.0	1.8729424928250107	1.9401238168681878	1.5957639423869385	2.204895313573668	1.8015669504196687	1.5337866885158604	1.7843930983367078	2.07262805408529	1.8710728451189769	2.433324107980974	2.017404220386317	1.5021714051089319	1.9854210842147682	2.1377605329414306	2.3614108328244847	2.2180400852267566	1.9888144561080625	2.089270775932189	1.9475224391095813	2.073487647558732	1.580572309474148	2.014492370159255	1.8559970301567068	1.9185648458982216	1.7593625275424514	1.6051756976125757	2.0175948549547114	1.9156643397275692	2.1152151751318136	1.7976593665254685	2.0596771680472026
Shexian	1.8393023005051896	2.0697121840956694	1.5432169072280018	1.413893342188744	1.70935769940248	1.6742649406180692	1.6119686046926909	1.7716541188572212	1.8729424928250107	0.0	2.0185412825895255	1.8976378343030627	1.67803165929303	1.640491268375535	1.691571504043237	1.4570592482528306	1.8103830233009182	1.7128693567463893	1.8850755981126033	1.810690180763407	1.4915452399079234	1.8334224935714536	1.843499029578025	2.1847470811719307	1.7681343732190287	1.7525629436042165	1.9060272039891628	1.7682271423543345	2.007442495569379	1.913336002247494	1.7278626451826842	1.5535244558796832	1.7645401776698455	1.6622048265409006	1.9513801294300708	1.8251025709660649	1.6576748357803992	1.9274250036763512	1.8152067871511974	1.5967855233666515
