	Lanzhou	Yinchuan	Shantou	Tunxi	Changsha	Jinan	Zhengzhou	Xiamen	Xining	Shexian	Suzhou	Beijing	Wenzhou	Tianjin	Wulumuqi	Guiyang	Shanghai	Taibei	Taoyuan	Hangzhou	Xian	Hefei	Guangzhou	Haikou	Meixian	Wuhan	Xianggang	Jianou	Pingyao	Qingdao	Fuzhou	Nanchang	Nanjing	Huhehaote	Haerbin	Nanning	Chengdu	Xiangtan	Kunming	Taiyuan
Lanzhou	0.0	1.7453851602932817	2.6777586702171483	2.7147238349833005	2.3673844585100454	1.6668257832917237	2.223887569106919	2.7324288486733854	2.3856289474231227	2.38661457538591	2.616937734754359	2.4498696482426423	2.6434006183421763	2.5478034558062133	2.333136217809902	2.6665223169380003	2.6840179701389353	2.6946526796757264	3.0723702352314324	2.447139832184552	2.4531382301421347	2.6404673743153997	2.7553570166316192	2.764178089382452	2.8924437518197594	2.632029298515842	2.793189340148238	2.585959638174905	2.538031573715251	2.0024223777412278	2.3758105492538775	2.788560424409735	2.637899521916978	2.0626504690085987	2.555113639340293	2.7848844280967997	2.4626313884958826	2.742997128666055	2.3950448212281295	2.5028157871790753
Yinchuan	1.7453851602932817	0.0	2.9635925725714882	3.2349016962951227	2.5006606066656945	1.9322615015594296	2.0430757832742725	2.955249963630725	2.693300172992986	2.7873660526671014	3.1175867967411337	2.1376861864655825	3.0154301691260095	2.29629055524398	2.125661293518168	2.6997259783936074	3.079857852896894	2.8644922003644937	3.5164368169415483	2.8793756130857684	2.6645055964041964	3.1861549789838355	3.069295286206186	3.187584601536388	3.0923384853153966	2.5976980325500305	2.9463537848399577	2.9387198957219405	2.741338308603169	2.468069338415637	2.5770362272845277	3.1565321080762283	3.0323534470784494	2.6467193505874773	2.2799947458036773	2.976824893283266	2.4059225770545125	3.012176526733959	2.7059703064328176	2.872528040686034
Shantou	2.6777586702171483	2.9635925725714882	0.0	2.234517366192675	2.2450503063063065	2.4744356807093633	2.252332047731878	1.7377083121301635	2.4980670453546576	2.107323242940786	2.431140730347615	2.482002828421435	2.261065365896375	2.4365447002758205	2.310066906640681	2.2159905384434135	2.511922782879856	1.6039430364015872	2.471526938533885	2.2586475127834995	2.2687805088759454	2.4134318458443262	2.2954027748664507	2.052597789048428	1.9146687597632686	2.4155742754207394	2.400906369791471	2.2705488736617747	2.4987693451873314	2.708194706542592	2.0221656186744186	2.268801734128349	2.36143679071362	2.464208716117266	2.517134339736451	2.3621120751212077	2.307980322091577	2.373824440918394	2.440807312493997	2.1968547491107886
Tunxi	2.7147238349833005	3.2349016962951227	2.234517366192675	0.0	2.2909175322951683	2.5436655402759474	2.3885780211242116	2.3534482547110276	2.6436882221935125	1.8871701518273256	2.3065695032548845	2.4045199366652956	2.1644947762096756	2.416396347067098	2.5867473678909643	2.472452177010178	2.257195486950551	2.376338921321622	2.519663209221497	2.1473146773616145	2.4806460006741453	2.234592256229381	2.4104319881346457	2.4152145056505754	2.399242170946862	2.5994037364151725	2.4308423346712855	2.37201511095106	2.694499093182519	2.6430636604347106	2.4019195950715204	2.0993135106542344	2.2621288551691303	2.5246400255278756	2.5522311704119947	2.363881586341606	2.5233271907539097	2.3494649396349736	2.460524316761596	2.463551658379156
Changsha	2.3673844585100454	2.5006606066656945	2.2450503063063065	2.2909175322951683	0.0	2.357691347093962	1.7215020483329815	2.2338316196743913	2.4253123288129506	2.2845859579437615	2.1469442396563903	1.9730873039337422	2.2399749076877544	1.9954512673089448	2.1010713927384392	1.8299977151521674	2.2511836797943103	2.1849344261590176	2.471427085481029	2.1274734701466174	1.8298599168007188	2.4842049923305014	2.4022362972175206	2.4672450530470313	2.2353989351967143	1.7263267578241237	2.4693747798066443	2.0404025959177328	2.3972578177331645	2.6565811560201675	2.34409444354861	2.197479707730573	1.790034793187103	2.3060388651416868	1.8709022578734438	2.4661109775925185	1.7181309277975965	1.314829930121011	2.215921803299216	2.284525736201999
Jinan	1.6668257832917237	1.9322615015594296	2.4744356807093633	2.5436655402759474	2.357691347093962	0.0	1.796579088233146	2.4929258801858056	2.0661784982184184	2.296882508051499	2.5850462999154145	2.050676216415833	2.299646285017755	2.2832035108696433	1.8689377227340982	2.294566319401986	2.6127535162454416	2.5510165027622445	2.8734286862107563	2.4369284918730245	1.7315198619168095	2.493458662526904	2.57807710401324	2.686591933260007	2.6579642649903583	2.3040509590314002	2.5616669466845483	2.4415446310895383	2.50781069821992	1.129855327009834	2.514338278769738	2.52863812085767	2.4822055023617398	2.205255973644042	2.1195960505689198	2.58413588909251	2.37544316815066	2.6331045242814515	2.24832220445334	2.274569773090496
Zhengzhou	2.223887569106919	2.0430757832742725	2.252332047731878	2.3885780211242116	1.7215020483329815	1.796579088233146	0.0	2.247156630881477	2.2952518695403414	2.244980287640888	2.5169862730541284	1.3029827187741314	2.461890561470313	1.7260487146120238	1.607548001941102	1.8781735706174811	2.5509088117537093	2.2467129628411757	2.6622020544639087	2.3791453790265615	1.6573778783113964	2.3514978510751536	2.420629481989358	2.4291027938224516	2.4027788061247977	1.8730144561696007	2.3837662593143123	2.0496509797743343	2.3576938157598786	2.0688117724049606	2.22983321426712	2.2199220283251444	2.2098013819958755	2.294210269704748	1.2658694837517268	2.4244543361245032	1.8475411110293756	2.1009497918293087	2.096525260770277	2.1504184932266823
Xiamen	2.7324288486733854	2.955249963630725	1.7377083121301635	2.3534482547110276	2.2338316196743913	2.4929258801858056	2.247156630881477	0.0	2.5106079871364764	2.256680504313897	2.5126970439158365	2.130154361068959	2.3772720721210803	2.334436946447256	2.2881703538868208	2.21461387837157	2.6101050907768713	1.05421013127759	2.5394052715813595	2.437886804724039	2.2476631318686815	2.6310904074757406	2.1285773611102217	2.1615726511359203	1.8288153199464652	2.3453576827491274	2.0372015081102166	2.214103421976681	2.6044811036835767	2.771338496137693	2.0038462545502274	2.1972529361863424	2.4260956391838926	2.4515109987370294	2.338060516435727	2.0552346496956035	2.0386869327927175	2.4144660751887823	2.26862751702685	2.390420685711541
Xining	2.3856289474231227	2.693300172992986	2.4980670453546576	2.6436882221935125	2.4253123288129506	2.0661784982184184	2.2952518695403414	2.5106079871364764	0.0	2.4210491738992674	2.5379450674580255	2.29268891898471	2.6703921047667345	2.552809856381918	2.1631113486293363	2.315961687119154	2.6679925817948873	2.2812187091317124	3.0013119414710956	2.4973436016429105	1.894997007212488	2.6225161152001335	2.6826587659735677	2.748390692109785	2.7618779465077465	2.504151292101509	2.622440612121338	2.542953375756601	2.6965848378955926	2.139230667978701	2.5193432917378407	2.5217472357753263	2.5952488452931215	2.2797878759786507	2.2120206759678473	2.573111356183843	2.470368401647242	2.714959031341423	2.3564640388993863	2.6317818310882624
Shexian	2.38661457538591	2.7873660526671014	2.107323242940786	1.8871701518273256	2.2845859579437615	2.296882508051499	2.244980287640888	2.256680504313897	2.4210491738992674	0.0	2.4975629789965517	2.437638902643995	2.193803476224697	2.2839151729655773	2.355852751200235	2.0212111385995	2.3485696194154224	2.2694664980900323	2.5326935164047564	2.3188990888728958	2.0806699393444226	2.335310158547563	2.321551550827219	2.524556502578504	2.3296744593470455	2.3636829875521066	2.3506354110985526	2.294720108833662	2.5649641966316796	2.519334362094507	2.310460322145193	2.151568511569277	2.297315135580816	2.1918449226887198	2.5240869057830517	2.20493905870317	2.2763513868737624	2.4587694113161667	2.362294491321504	2.2560155601686844
