Lang_pair	Segment_distance	Tone_distance	Unweighted_total_distance	Weight	Weighted_total_distance
Shanghai_Wulumuqi	2.6313364055299537	3.0506912442396312	5.682027649769585	2.1687752178405266	8.757468430354566
Shanghai_Lanzhou	2.6635944700460827	2.3548387096774195	5.018433179723502	2.2243925584480384	8.279718427571272
Shanghai_Beijing	2.7465437788018434	2.4654377880184333	5.211981566820277	2.14499362933834	8.356756696247238
Shanghai_Nanjing	2.0691244239631335	1.4700460829493087	3.539170506912442	2.0758149269309656	5.765165447889417
Shanghai_Nanning	2.5714285714285716	2.055299539170507	4.626728110599078	1.919064759643408	6.990037492539271
Shanghai_Nanchang	2.032258064516129	1.2903225806451613	3.32258064516129	1.9594270785675723	5.272384062895389
Shanghai_Xiamen	2.576036866359447	2.2119815668202767	4.788018433179724	1.9323081827564048	7.189678682768803
Shanghai_Taibei	2.4516129032258065	2.313364055299539	4.764976958525345	1.861626709190277	6.8773521165402185
Shanghai_Hefei	1.8755760368663594	1.663594470046083	3.539170506912442	2.072525716425291	5.550774039562643
Shanghai_Huhehaote	1.672811059907834	2.6774193548387095	4.350230414746544	2.013655990779455	6.045885367064249
Shanghai_Haerbin	2.7649769585253456	2.3410138248847927	5.105990783410139	2.281508549564156	8.649332395108265
Shanghai_Tianjin	2.7142857142857144	2.391705069124424	5.105990783410139	2.0329269917336403	7.909649760972876
Shanghai_Taiyuan	1.792626728110599	1.7419354838709677	3.5345622119815667	2.0898262696373227	5.4882139119305
Shanghai_Tunxi	2.511520737327189	1.9170506912442395	4.428571428571429	1.9182555963199126	6.734789400895633
Shanghai_Pingyao	1.9907834101382489	1.7972350230414746	3.7880184331797233	2.0735096389116605	5.92514361294856
Shanghai_Guangzhou	2.5714285714285716	1.064516129032258	3.6359447004608296	1.894282722977498	5.9355288452601105
Shanghai_Jianou	2.737327188940092	2.142857142857143	4.880184331797235	1.914970409960971	7.384757712059063
Shanghai_Chengdu	2.728110599078341	2.2764976958525347	5.0046082949308754	2.136480056737943	8.105051583358811
Shanghai_Kunming	2.4608294930875574	2.7880184331797233	5.248847926267281	2.0413387257170723	7.8114049748060665
Shanghai_Hangzhou	1.423963133640553	1.055299539170507	2.4792626728110596	1.8030804773187896	3.622819665859475
Shanghai_Taoyuan	2.608294930875576	2.5483870967741935	5.15668202764977	2.130693153540265	8.105863248404562
Shanghai_Meixian	2.377880184331797	1.7649769585253456	4.142857142857142	2.081642641525369	6.714873746668619
Shanghai_Shexian	2.0092165898617513	2.4516129032258065	4.460829493087558	1.8513731185273865	6.171422486995118
Shanghai_Wuhan	2.7419354838709675	2.6175115207373274	5.359447004608295	2.1304029535375357	8.458938973985408
Shanghai_Shantou	2.488479262672811	2.0921658986175116	4.580645161290322	1.886174219830644	6.785871330454137
Shanghai_Jinan	2.488479262672811	2.8847926267281108	5.373271889400922	2.064655567629413	8.022645191335867
Shanghai_Haikou	2.866359447004608	1.6774193548387097	4.543778801843318	1.9123788642679709	7.158984578685152
Shanghai_Wenzhou	2.078341013824885	2.9907834101382487	5.0691244239631335	1.8486244227367472	6.832855367070382
Shanghai_Xiangtan	2.7235023041474653	2.0691244239631335	4.792626728110599	1.9800591259731988	7.461820015899357
Fuzhou_Shanghai	2.414746543778802	2.525345622119816	4.940092165898617	1.8529513059979823	6.999753384068861
Shanghai_Suzhou	0.7741935483870968	1.4193548387096775	2.193548387096774	1.9392100626723399	2.9206787581979405
Shanghai_Xining	2.543778801843318	2.271889400921659	4.815668202764977	2.2587551437914484	8.017662854252901
Shanghai_Xian	2.5990783410138247	2.248847926267281	4.847926267281106	2.078577477919183	7.651233629246171
Shanghai_Guiyang	2.8202764976958523	2.552995391705069	5.373271889400922	2.0815075872579434	8.423422319824246
Shanghai_Zhengzhou	2.8847926267281108	2.774193548387097	5.658986175115208	2.0116001500700365	8.577242829234299
Shanghai_Yinchuan	2.488479262672811	2.230414746543779	4.71889400921659	2.88328958809056	9.405421094787568
Shanghai_Changsha	2.6682027649769586	1.9308755760368663	4.599078341013825	2.0542284795941987	7.411973685184521
Shanghai_Qingdao	2.474654377880184	2.5944700460829493	5.0691244239631335	2.375873061127219	8.473934718089016
Shanghai_Xianggang	2.6267281105990783	1.23963133640553	3.8663594470046085	1.9275989475199307	6.30290967781733
Lanzhou_Wulumuqi	1.2811059907834101	1.8341013824884793	3.1152073732718897	2.431676549231225	4.949336777356131
Wulumuqi_Beijing	0.6267281105990783	3.087557603686636	3.7142857142857144	2.331813335247454	4.548970569556008
Nanjing_Wulumuqi	1.8294930875576036	3.4193548387096775	5.248847926267281	2.2571073913400252	7.548717209041429
Nanning_Wulumuqi	1.9723502304147464	2.207373271889401	4.179723502304148	2.0590625521648294	6.268565771090078
Wulumuqi_Nanchang	2.032258064516129	2.9262672811059907	4.958525345622119	2.1205169069156145	7.235704866128046
Xiamen_Wulumuqi	2.165898617511521	2.622119815668203	4.788018433179724	2.082936165793602	7.1335483775253135
Taibei_Wulumuqi	2.304147465437788	2.5391705069124426	4.84331797235023	1.9983304951843237	7.143618652498441
Hefei_Wulumuqi	2.447004608294931	2.9953917050691246	5.442396313364055	2.2565729661381666	8.51723615216298
Wulumuqi_Huhehaote	2.110599078341014	2.3963133640552994	4.506912442396313	2.1906835311654853	7.019968005870011
Haerbin_Wulumuqi	0.6866359447004609	2.640552995391705	3.327188940092166	2.4910189634113133	4.350976154600395
Tianjin_Wulumuqi	0.7972350230414746	2.6820276497695854	3.47926267281106	2.2014206638858984	4.437077303466638
Taiyuan_Wulumuqi	1.9631336405529953	2.774193548387097	4.7373271889400925	2.2780316235725038	7.246274062865837
Tunxi_Wulumuqi	2.2350230414746544	2.783410138248848	5.018433179723502	2.073570534787375	7.417888061621552
Wulumuqi_Pingyao	2.225806451612903	2.737327188940092	4.963133640552995	2.265435076404757	7.77974719771197
Guangzhou_Wulumuqi	2.0829493087557602	2.5161290322580645	4.599078341013825	2.032862413469855	6.750478391190665
Wulumuqi_Jianou	1.8709677419354838	2.442396313364055	4.313364055299539	2.0634792115932212	6.3030993544094365
Wulumuqi_Chengdu	1.119815668202765	1.8571428571428572	2.976958525345622	2.3218544992785057	4.457191904722013
Kunming_Wulumuqi	1.7741935483870968	1.792626728110599	3.5668202764976957	2.208420978319853	5.710792979968403
Hangzhou_Wulumuqi	2.52073732718894	3.0506912442396312	5.571428571428571	1.9414893407939897	7.94467589591849
Taoyuan_Wulumuqi	2.271889400921659	2.705069124423963	4.976958525345622	2.3013694709816788	7.933526033151924
Meixian_Wulumuqi	2.0691244239631335	2.4976958525345623	4.566820276497696	2.2466606956367405	7.146316370234546
Wulumuqi_Shexian	2.3364055299539173	2.4838709677419355	4.820276497695852	1.9947347984506383	7.144380381633519
Wuhan_Wulumuqi	1.0	2.3087557603686637	3.3087557603686637	2.314745962400501	4.623501722769165
Wulumuqi_Shantou	2.359447004608295	2.410138248847926	4.769585253456221	2.0251845714851413	7.188453919817476
Jinan_Wulumuqi	1.359447004608295	1.8709677419354838	3.2304147465437785	2.2356475189693255	4.9102120649583
Wulumuqi_Haikou	2.207373271889401	3.013824884792627	5.221198156682028	2.054491867983005	7.548855321492439
Wulumuqi_Wenzhou	2.3225806451612905	2.110599078341014	4.433179723502304	1.9885961449863485	6.729273995728663
Wulumuqi_Xiangtan	1.608294930875576	2.557603686635945	4.165898617511521	2.138998465904633	5.997744076501
Fuzhou_Wulumuqi	2.5161290322580645	2.032258064516129	4.548387096774194	1.9909829189235244	7.041827989549513
Suzhou_Wulumuqi	2.672811059907834	2.442396313364055	5.11520737327189	2.0956443072916175	8.043657595525982
Xining_Wulumuqi	1.76036866359447	1.9585253456221199	3.71889400921659	2.4606992150346536	6.290263134300635
Xian_Wulumuqi	1.152073732718894	2.912442396313364	4.064516129032258	2.254240018607607	5.509493108994938
Wulumuqi_Guiyang	1.2350230414746544	1.1105990783410138	2.345622119815668	2.256295790696282	3.897176368233196
Wulumuqi_Zhengzhou	0.9216589861751152	1.6774193548387097	2.5990783410138247	2.1753353647847753	3.68233674173712
Wulumuqi_Yinchuan	0.8064516129032258	1.6359447004608294	2.442396313364055	3.210305544187286	4.224900784482834
Changsha_Wulumuqi	1.2211981566820276	2.8202764976958523	4.04147465437788	2.227705912066481	5.540746851141094
Wulumuqi_Qingdao	1.4838709677419355	2.488479262672811	3.9723502304147464	2.5968056034687046	6.341803706529598
Xianggang_Wulumuqi	2.0092165898617513	2.359447004608295	4.368663594470046	2.0701093896666842	6.518745133155182
Lanzhou_Beijing	1.294930875576037	2.9953917050691246	4.290322580645162	2.398478411323558	6.101255454294561
Nanjing_Lanzhou	2.1013824884792625	2.695852534562212	4.797235023041475	2.319740894153514	7.570515427345633
Nanning_Lanzhou	2.4285714285714284	2.4055299539170507	4.834101382488479	2.101928644412028	7.5102138046319755
Lanzhou_Nanchang	2.488479262672811	2.5345622119815667	5.023041474654377	2.1721835924846173	7.939996036597665
Xiamen_Lanzhou	2.7004608294930876	2.622119815668203	5.32258064516129	2.12999651069707	8.374091959762595
Taibei_Lanzhou	2.737327188940092	2.552995391705069	5.290322580645161	2.038698736364234	8.133580872812695
Lanzhou_Hefei	1.9861751152073732	2.442396313364055	4.428571428571429	2.3202651043271207	7.050849124262622
